loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
19462,0.26121521,0.068233386,0.999954224,0.99990845,-0.324554443,0.105335586,1.083271629,1375754.545,1537499664,37.81551279,-122.2638915
19463,0.241073608,0.058116484,0.927749634,0.860719383,-0.050827026,0.002583387,0.959905857,1375754.604,1537499664,37.81551279,-122.2638915
19464,0.228118896,0.052038231,1.30355835,1.699264372,-0.337799072,0.114108213,1.36580043,1375754.664,1537499664,37.81551279,-122.2638915
19465,0.102493286,0.010504874,1.520629883,2.312315241,0.209381104,0.043840447,1.53839545,1375754.724,1537499664,37.81551279,-122.2638915
19466,0.23765564,0.056480203,0.881164551,0.776450966,-0.374298096,0.140099065,0.986422949,1375754.783,1537499664,37.81551279,-122.2638915
19467,0.320999146,0.103040452,0.178771973,0.031959418,0.027404785,0.000751022,0.368443879,1375754.843,1537499664,37.81551279,-122.2638915
19468,0.203704834,0.041495659,0.524368286,0.274962099,-0.167602539,0.028090611,0.586982427,1375754.903,1537499664,37.81551279,-122.2638915
19469,0.295379639,0.087249131,1.064224243,1.132573239,-0.158813477,0.02522172,1.115815438,1375754.962,1537499664,37.81551279,-122.2638915
19470,0.381774902,0.145752076,1.360992432,1.8523004,-0.250457764,0.062729092,1.435542255,1375755.022,1537499664,37.81551279,-122.2638915
19471,0.212478638,0.045147172,0.950668335,0.903770283,-0.014038086,0.000197068,0.974225088,1375755.082,1537499664,37.81551279,-122.2638915
19472,0.214538574,0.0460268,0.871154785,0.758910659,-0.248886108,0.061944295,0.931064849,1375755.141,1537499664,37.81551279,-122.2638915
19473,0.397323608,0.157866049,1.512985229,2.289124303,-0.322753906,0.104170084,1.597235248,1375755.201,1537499664,37.81551279,-122.2638915
19474,0.183059692,0.033510851,0.930480957,0.865794811,0.044113159,0.001945971,0.949342737,1375755.261,1537499664,37.81551279,-122.2638915
19475,0.140274048,0.019676809,0.669570923,0.448325221,-0.200622559,0.040249411,0.712917555,1375755.32,1537499664,37.81551279,-122.2638915
19476,0.294616699,0.086798999,1.042922974,1.08768833,-0.180923462,0.032733299,1.098735923,1375755.38,1537499664,37.81551279,-122.2638915
19477,0.464035034,0.215328513,1.400817871,1.962290708,-0.395996094,0.156812906,1.527884854,1375755.44,1537499664,37.81551279,-122.2638915
19478,0.0390625,0.001525879,0.088699341,0.007867573,0.209884644,0.044051564,0.231181781,1375755.499,1537499664,37.81551279,-122.2638915
19479,0.692932129,0.480154935,1.995925903,3.98372021,-0.290893555,0.08461906,2.132719908,1375755.559,1537499665,37.81550076,-122.263854
19480,0.158126831,0.025004095,0.775115967,0.600804762,0.10774231,0.011608405,0.798384157,1375755.619,1537499665,37.81550076,-122.263854
19481,0.218322754,0.047664825,0.920913696,0.848082035,-0.220199585,0.048487857,0.971717406,1375755.678,1537499665,37.81550076,-122.263854
19482,0.20475769,0.041925712,0.692871094,0.480070353,0.009338379,8.72E-05,0.722553299,1375755.738,1537499665,37.81550076,-122.263854
19483,0.234359741,0.054924488,0.99772644,0.995458049,-0.070922852,0.005030051,1.027332754,1375755.798,1537499665,37.81550076,-122.263854
19484,0.17024231,0.028982444,0.740524292,0.548376227,-0.104431152,0.010905866,0.766984052,1375755.857,1537499665,37.81550076,-122.263854
19485,0.229614258,0.052722707,0.894546509,0.800213457,-0.173355103,0.030051992,0.939674495,1375755.917,1537499665,37.81550076,-122.263854
19486,0.265045166,0.07024894,0.838607788,0.703263022,-0.267150879,0.071369592,0.919174387,1375755.977,1537499665,37.81550076,-122.263854
19487,0.21307373,0.045400414,0.810638428,0.657134661,0.055328369,0.003061228,0.8399978,1375756.036,1537499665,37.81550076,-122.263854
19488,0.11920166,0.014209036,0.56741333,0.321957887,-0.00730896,5.34E-05,0.579845103,1375756.096,1537499665,37.81550076,-122.263854
19489,0.215652466,0.046505986,0.645843506,0.417113834,0.056930542,0.003241087,0.683272206,1375756.156,1537499665,37.81550076,-122.263854
19490,0.141418457,0.01999918,0.492340088,0.242398762,-0.064804077,0.004199568,0.516330815,1375756.215,1537499665,37.81550076,-122.263854
19491,0.204971313,0.042013239,0.88444519,0.782243294,-0.270935059,0.073405806,0.947450442,1375756.275,1537499665,37.81550076,-122.263854
19492,0.213104248,0.045413421,0.979537964,0.959494623,-0.233184814,0.054375157,1.029214847,1375756.335,1537499665,37.81550076,-122.263854
19493,0.286346436,0.081994281,1.269378662,1.611322188,0.074768066,0.005590264,1.303421165,1375756.394,1537499665,37.81550076,-122.263854
19494,0.194610596,0.037873284,0.960510254,0.922579948,-0.288162231,0.083037471,1.021513927,1375756.454,1537499665,37.81550076,-122.263854
19495,0.185791016,0.034518302,0.808883667,0.654292787,-0.324951172,0.105593264,0.89129364,1375756.514,1537499665,37.81550076,-122.263854
19496,0.423370361,0.179242463,1.708343506,2.918437534,-0.157318115,0.024748989,1.767039611,1375756.573,1537499666,37.81547466,-122.2637728
